incident_address,count
89-21 ELMHURST AVENUE,811
1025 BOYNTON AVENUE,192
1967 MARMION AVENUE,184
381 VERNON AVENUE,183
2090 EAST TREMONT AVENUE,164
712 CROWN STREET,138
9511 SHORE ROAD,136
5421 BEVERLY ROAD,133
410 EASTERN PARKWAY,129
71-38 71 STREET,126
2 STODDARD PLACE,95
88-22 PARSONS BOULEVARD,94
1711 FULTON STREET,93
1314 GRAND CONCOURSE,87
1030 BOYNTON AVENUE,87
3333C BROADWAY,85
709 FAIRMOUNT PLACE,83
120-01 111 AVENUE,79
772 EAST  168 STREET,79
2040 BRONXDALE AVENUE,74
2968 PERRY AVENUE,73
1221 SHERIDAN AVENUE,69
507 WEST  139 STREET,68
1702 WEST    1 STREET,68
2304 AMSTERDAM AVENUE,68
750 GRAND CONCOURSE,64
2380 BROADWAY,63
48 JEFFERSON STREET,62
5510 13 AVENUE,61
72-10 41 AVENUE,60
828 ROGERS AVENUE,60
635 EAGLE AVENUE,60
1920 OSBORNE PLACE,59
1225 SHERIDAN AVENUE,59
1746 PRESIDENT STREET,57
3607 BROADWAY,57
2500 WEBB AVENUE,57
265 CLINTON STREET,57
101 POST AVENUE,57
1056 FINDLAY AVENUE,56
2410 WASHINGTON AVENUE,56
60 EAST  196 STREET,56
266 BEDFORD PARK BOULEVARD,54
2913 FOSTER AVENUE,54
2995 BOTANICAL SQUARE,52
124 TROUTMAN STREET,49
2502 TRATMAN AVENUE,48
2856 WEBB AVENUE,48
2074 WALLACE AVENUE,47
69 ST NICHOLAS PLACE,47
1700 ALBEMARLE ROAD,47
430 61 STREET,46
361 EAST  163 STREET,46
22-04 COLLIER AVENUE,46
7 HEGEMAN AVENUE,45
3671 BROADWAY,45
684 RIVERSIDE DRIVE,44
1614 BEDFORD AVENUE,43
1853 ANTHONY AVENUE,43
2512 UNIVERSITY AVENUE,43
93 LINDEN BOULEVARD,43
883 EAST  180 STREET,43
541 WEST  150 STREET,43
2340 EAST   24 STREET,43
336 WEST   17 STREET,42
86-45 ST JAMES AVENUE,42
491 EAST   94 STREET,42
4305 CARPENTER AVENUE,41
240 CROWN STREET,41
769 ST MARKS AVENUE,41
35-48 94 STREET,41
83-43 118 STREET,41
1610 DR M L KING JR BOULEVARD,41
31-35 CRESCENT STREET,41
810 EAST  156 STREET,41
139 EAST   27 STREET,41
1152 ELTON STREET,40
1201 8 AVENUE,40
214 PROSPECT PLACE,40
2215 NEWKIRK AVENUE,40
209 WEST  107 STREET,40
1030 CARROLL STREET,39
1250 FRANKLIN AVENUE,39
1080 ANDERSON AVENUE,39
1253 FRANKLIN AVENUE,39
526 TINTON AVENUE,39
509 WEST  134 STREET,38
1449 FULTON STREET,38
355 LEFFERTS AVENUE,38
1661 PARK AVENUE,38
1750 EAST   14 STREET,38
644 RIVERSIDE DRIVE,38
460 WEST  147 STREET,38
178 ROCKAWAY PARKWAY,38
1361 68 STREET,37
106-10 SHORE FRONT PARKWAY,37
1064 FINDLAY AVENUE,37
259 LINDEN STREET,37
1772 AMSTERDAM AVENUE,37
780 EAST    2 STREET,37
2657 FREDERICK DOUGLASS BOULEVARD,36
66-67 FRESH POND ROAD,36
315 PULASKI STREET,36
125 LENOX ROAD,36
46 LINDEN BOULEVARD,36
62 BLEECKER STREET,36
425 61 STREET,36
600 ROGERS AVENUE,36
956 ROGERS AVENUE,35
3840 ORLOFF AVENUE,35
1700 BEDFORD AVENUE,35
170-20 CROCHERON AVENUE,35
1314 MERRIAM AVENUE,35
434 SCHENECTADY AVENUE,35
344 EAST  112 STREET,35
1050 WHEELER AVENUE,35
143-30 SANFORD AVENUE,35
64-40 99 STREET,35
3920 BRONX BOULEVARD,34
1543 2 AVENUE,34
3971 GOUVERNEUR AVENUE,34
202 WEST  146 STREET,34
125 ALLEN STREET,33
900 GRAND CONCOURSE,33
1064 EAST NEW YORK AVENUE,33
400 TOMPKINS AVENUE,33
1153 GRAND CONCOURSE,33
851 WEST END AVENUE,33
1425 DR M L KING JR BOULEVARD,33
576 EASTERN PARKWAY,32
1621 ST NICHOLAS AVENUE,32
226 EAST   34 STREET,32
149-35 NORTHERN BOULEVARD,32
3021 BRIGGS AVENUE,32
483 PACIFIC STREET,32
332 ROGERS AVENUE,32
395 SCHENECTADY AVENUE,31
645 WEST  160 STREET,31
37-25 98 STREET,31
308 STANHOPE STREET,31
675 LINWOOD STREET,31
1435 CARROLL STREET,31
27 GRACE COURT,31
3225 OLINVILLE AVENUE,31
6413 24 AVENUE,31
899 MONTGOMERY STREET,31
2181 BARNES AVENUE,31
2234 RYER AVENUE,31
2016 DAVIDSON AVENUE,31
129 BOERUM STREET,31
620 WEST  141 STREET,31
260 PARKHILL AVENUE,30
147-37 ROOSEVELT AVENUE,30
749 LAFAYETTE AVENUE,30
21-70 41 STREET,30
80 ROSS STREET,30
1514 SEDGWICK AVENUE,30
2290 ANDREWS AVENUE NORTH,30
580 EMPIRE BOULEVARD,30
2281 DR M L KING JR BOULEVARD,30
219 BRIGHTWATER COURT,30
30 BUCHANAN PLACE,30
2750 HOMECREST AVENUE,30
2155 PAULDING AVENUE,30
655 PELHAM PARKWAY NORTH,30
41 ELLIOT PLACE,30
3209 DECATUR AVENUE,29
1562 THIERIOT AVENUE,29
636 11 STREET,29
1403 2 AVENUE,29
165 EAST   19 STREET,29
410 EAST   17 STREET,29
