('1635 MONTGOMERY AVE', 'New York')['Duplex', '40.848794', '-73.920395', '2016', '1993', '2000', '2640', '11/01/2005', 'USD', '385000', '527411', '11/14/2017', '13574', '564330', '564330', '0', '10453']
('1802 E  174 ST', 'New York')['SingleFamily', '40.834695', '-73.86712', '2016', '1928', '2439', '2400', '11/14/2007', 'USD', '600000', '507220', '11/14/2017', '8732', '547798', '547798', '0', '10472']
('1721 MAHAN AVE', 'New York')['Duplex', '40.846745', '-73.82921', '2016', '1925', '3300', '2300', '03/22/2005', 'USD', '545500', '539127', '11/14/2017', '-407', '566083', '566083', '0', '10461']
('931 BURKE AVE', 'New York')['Quadruplex', '40.871585', '-73.859794', '2016', '1920', '5000', '2149', '03/14/2010', 'USD', '475000', '491510', '11/14/2017', '-14008', '525916', '525916', '0', '10469']
('1256 STRATFORD AVE', 'New York')['Quadruplex', '40.831064', '-73.87563', '2016', '1927', '2500', '3321', '03/09/2012', 'USD', '750000', '640223', '11/14/2017', '3056', '678636', '678636', '0', '10472']
('1774 EDENWALD AVE', 'New York')['Triplex', '40.8915', '-73.84869', '2016', '1930', '2500', '2310', '01/04/2000', 'USD', '270000', '567947', '11/14/2017', '-637', '607703', '607703', '0', '10466']
('1855 HOLLAND AVE', 'New York')['MultiFamily2To4', '40.847055', '-73.86514', '2016', '1910', '3000', '2240', '08/28/2013', 'USD', '500000', '587368', '11/14/2017', '-11390', '616736', '616736', '0', '10462']
('1115 CROES AVE', 'New York')['Quadruplex', '40.827614', '-73.8705', '2016', '1927', '2500', '3280', '05/11/2005', 'USD', '475000', '659844', '11/14/2017', '14308', '692836', '692836', '0', '10472']
('70 STONE LN', 'New York')['Condominium', '40.578177', '-74.158655', '2016', '1978', '366749', '1242', '08/08/1997', 'USD', '117500', '362394', '11/14/2017', '392', '380514', '380514', '0', '10314']
('325 BCH 41 ST', 'New York')['SingleFamily', '40.594841', '-73.773162', '2016', '2006', '4794', '1332', '08/09/2006', 'USD', '335629', '359256', '11/14/2017', '-19305', '416737', '416737', '0', '11691']
('2900 ROBERTS AVE', 'New York')['Triplex', '40.84514', '-73.83256', '2016', '1950', '2400', '2640', '08/17/2017', 'USD', '675000', '597592', '11/14/2017', '-3164', '651375', '651375', '0', '10461']
('677 SEAVER AVE', 'New York')['SingleFamily', '40.576645', '-74.083685', '2016', '1992', '1440', '1600', '07/27/2016', 'USD', '395270', '467758', '11/14/2017', '17079', '495823', '495823', '0', '10305']
('406 E  50 ST', 'New York')['Townhouse', '40.753545', '-73.96592', '2016', '1910', '1800', '5000', '11/14/2014', 'USD', '6325000', '10108413', '11/14/2017', '-572270', '11220338', '11220338', '0', '10022']
('3341 BRUNER AVE', 'New York')['Duplex', '40.87735', '-73.84084', '2016', '2000', '2183', '3073', '02/08/2001', 'USD', '299000', '595476', '11/14/2017', '-1183', '625250', '625250', '0', '10469']
('428 BRONX PARK AVE', 'New York')['MultiFamily2To4', '40.84045', '-73.87492', '2016', '1899', '2500', '2310', '09/15/2006', 'USD', '563800', '559022', '11/14/2017', '25339', '586973', '586973', '0', '10460']
