zipcode,white_percent,black_percent,asian_percent
6390,0.961864407,0.008474576,0.008474576
10001,0.650270117,0.089896692,0.167709222
10002,0.313303034,0.083970028,0.465716742
10003,0.763851207,0.035288448,0.1443667
10004,0.701521528,0.031401748,0.212042732
10005,0.700911002,0.033917309,0.207428171
10006,0.693457323,0.045499834,0.196280306
10007,0.755724098,0.067401259,0.125643961
10009,0.620682348,0.098391119,0.136551095
10010,0.737984545,0.058962116,0.14405981
10011,0.802643967,0.046053664,0.088596422
10012,0.755624741,0.024740556,0.165421337
10013,0.556209386,0.037545126,0.361227437
10014,0.8790638,0.02065146,0.058637629
10016,0.747780669,0.040160198,0.166066848
10017,0.754328808,0.032820513,0.176772247
10018,0.569707401,0.075922739,0.256836871
10019,0.693072078,0.055143457,0.16715652
10021,0.879901905,0.018129312,0.072929798
10022,0.86424007,0.018544042,0.089963664
10023,0.815420178,0.046788419,0.089691465
10024,0.829664491,0.057031527,0.054956733
10025,0.648604651,0.143181818,0.082484144
10026,0.219774726,0.587007029,0.042907979
10027,0.310884821,0.44249418,0.075669519
10028,0.877162668,0.016991205,0.07379101
10029,0.325973975,0.314592845,0.068957804
10030,0.109559613,0.718508093,0.015667247
10031,0.248414189,0.335022503,0.024522485
10032,0.282656852,0.220857826,0.034658387
10033,0.42465601,0.09728146,0.023235545
10034,0.3742161,0.128508276,0.022771666
10035,0.250728605,0.435544173,0.031263799
10036,0.636801424,0.093116426,0.17093602
10037,0.084118052,0.772335783,0.017168121
10038,0.532955665,0.080295567,0.298916256
10039,0.107473397,0.698006279,0.018020956
10040,0.386684167,0.110320964,0.027228254
10044,0.510419347,0.21284624,0.18223137
10065,0.860582584,0.01753951,0.089185002
10069,0.721292556,0.035776111,0.201577226
10075,0.87936909,0.019945638,0.070594541
10103,0.333333333,0.666666667,0
10119,0.25,0.630434783,0.032608696
10128,0.803632574,0.047210229,0.096223512
10162,0.90148368,0.010089021,0.058160237
10280,0.69578505,0.029924869,0.223099452
10282,0.785281204,0.024043487,0.134852603
10301,0.543922833,0.245857049,0.066765728
10302,0.490727158,0.210079631,0.042644593
10303,0.338611079,0.375213578,0.078938376
10304,0.478444292,0.28841277,0.095466073
10305,0.762437424,0.04378548,0.109176268
10306,0.878820941,0.021123612,0.045484627
10307,0.934307605,0.006101022,0.024829739
10308,0.935921336,0.005154074,0.029169865
10309,0.910575356,0.023647714,0.038223808
10310,0.541102476,0.232914029,0.055604519
10312,0.908168083,0.009695805,0.05417847
10314,0.758893697,0.042568121,0.1344755
10451,0.190274101,0.433705948,0.016187955
